survey_location,session,birth_year,home_location,sex,caretaker,visit_frequency,relative_type,relative_curr_home_lang,relative_past_home_lang,relative_work_lang,relative_neighbor_lang,relative_partner_lang,relative_family_lang,relative_ethnicity,relative_education,relative_past_home,relative_curr_home,relative_profession,relative_religion,relative_birth_year,relative_first_lang,relative_other_langs
,,,,,,,Ibu dari ibu,daerah (jawa halus),daerah (jawa halus),,DAERAH,daerah (jawa halus),DAERAH,JAWA,,#NAME?,#NAME?,,Islam,1930,daerah (jawa halus),indonesia
,,,,,,,Bapak dari ibu,daerah (jawa halus),daerah (jawa halus),,DAERAH,daerah (jawa halus),DAERAH,JAWA,,#NAME?,#NAME?,,Islam,1927,daerah (jawa halus),indonesia
,,,,,,,Ibu dari bapak,DAERAH DIALEK (E),DAERAH DIALEK (E),,DAERAH DIALEK (E),DAERAH DIALEK (E),DAERAH DIALEK (E),LAHAT,,#NAME?,#NAME?,,Islam,1933,DAERAH DIALEK (E),indonesia
,,,,,,,Bapak dari bapak,DAERAH DIALEK (E),DAERAH DIALEK (E),,DAERAH DIALEK (E),DAERAH DIALEK (E),DAERAH DIALEK (E),LAHAT,,#NAME?,#NAME?,,Islam,1927,DAERAH DIALEK (E),indonesia
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Bengkulu-Unib-December-2013,ZYHYLN,1995,Bengkulu - Kabupaten Mukomuko,Perempuan,orang tua,,Ibu,MUKO-MUKO,MUKO-MUKO,,MUKO-MUKO,MUKO-MUKO,MUKO-MUKO,melayu,SD,Bengkulu - Kabupaten Mukomuko,Bengkulu - Kabupaten Mukomuko,,Islam,1974,MUKO-MUKO,MUKO-MUKO
,,,,,,,Bapak,MUKO-MUKO,MUKO-MUKO,,MUKO-MUKO,MUKO-MUKO,MUKO-MUKO,melayu,SD,Bengkulu - Kabupaten Mukomuko,Bengkulu - Kabupaten Mukomuko,,Islam,1968,MUKO-MUKO,MUKO-MUKO
,,,,,,,Ibu dari ibu,MUKO-MUKO,MUKO-MUKO,MUKO-MUKO,MUKO-MUKO,MUKO-MUKO,MUKO-MUKO,melayu,SD,Bengkulu - Kabupaten Mukomuko,Bengkulu - Kabupaten Mukomuko,,Islam,,MUKO-MUKO,LUBUK PINANG
,,,,,,,Bapak dari ibu,MUKO-MUKO,MUKO-MUKO,MUKO-MUKO,MUKO-MUKO,MUKO-MUKO,MUKO-MUKO,melayu,SD,Bengkulu - Kabupaten Mukomuko,Bengkulu - Kabupaten Mukomuko,,Islam,,MUKO-MUKO,LUBUK PINANG
,,,,,,,Ibu dari bapak,MUKO-MUKO,MUKO-MUKO,MUKO-MUKO,MUKO-MUKO,MUKO-MUKO,MUKO-MUKO,melayu,SD,Bengkulu - Kabupaten Mukomuko,Bengkulu - Kabupaten Mukomuko,,Islam,,MUKO-MUKO,LUBUK PINANG
,,,,,,,Bapak dari bapak,MUKO-MUKO,MUKO-MUKO,MUKO-MUKO,MUKO-MUKO,MUKO-MUKO,MUKO-MUKO,melayu,SD,Bengkulu - Kabupaten Mukomuko,Bengkulu - Kabupaten Mukomuko,,Islam,,MUKO-MUKO,LUBUK PINANG
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Bengkulu-Unib-December-2013,BLLHMY,1983,Bengkulu - Kota Bengkulu,Perempuan,orang tua,1-2,Ibu,REJANG,REJANG,,,JAWA,REJANG,rejang,SMA,Bengkulu,Jawa Tengah,,Islam,,SERAWAI,bengkulu
,,,,,,,Bapak,"BENGKULU, SELATAN",SELATAN,"bengkulu, indonesia","BENGKULU, REJANG",bengkulu,"SELATAN, REJANG",SERAWAI,S1,Bengkulu,Bengkulu,PNS,Islam,1962,bengkulu,"BENGKULU, REJANG, SERAWAI"
,,,,,,,Ibu dari ibu,,,,,,,rejang,, ,Bengkulu,,Islam,,"INDONESIA, BENGKULU",
,,,,,,,Bapak dari ibu,,,,,,,rejang,, ,Bengkulu,,Islam,0,,
,,,,,,,Ibu dari bapak,,,,,,,SERAWAI,, ,Bengkulu,,Islam,0,,
,,,,,,,Bapak dari bapak,,,,,,,SERAWAI,, ,Bengkulu,,Islam,0,,
,,,,,,,Istri/Suami,bengkulu,bengkulu,bengkulu,bengkulu,bengkulu,bengkulu,,SMA,Bengkulu,Bengkulu,SWASTA,Islam,1986,,
,,,,,,,Anak Anda,,,,,,,,, , ,,Islam,2012,,
Bengkulu-Unib-December-2013,YUASKE,1995,Bengkulu - Kabupaten Seluma,Perempuan,ORANG TUA,lebih dari 24,Ibu,"JAWA, SERAWAI",SERAWAI,SERAWAI,SERAWAI,"JAWA, SERAWAI","SERAWAI, BENGKULU",SERAWAI,SMA,Bengkulu - Kabupaten Seluma,Bengkulu - Kabupaten Seluma,PETANI,Islam,1974,SERAWAI,"JAWA, INDONESIA, BENGKULU"
,,,,,,,Bapak,"JAWA, SERAWAI, INDONESIA",JAWA,"SERAWAI, INDONESIA","SERAWAI, INDONESIA","JAWA, SERAWAI","JAWA, SERAWAI, INDONESIA",JAWA,SMA,#NAME?,Bengkulu - Kabupaten Seluma,PETANI,Islam,1967,JAWA,"SERAWAI, BENGKULU, INDONESIA"
,,,,,,,Ibu dari ibu,SERAWAI,SERAWAI,SERAWAI,SERAWAI,SERAWAI,SERAWAI,SERAWAI,,Bengkulu - Kabupaten Seluma,Bengkulu - Kabupaten Seluma,TANI,Islam,,SERAWAI,INDONESIA
,,,,,,,Bapak dari ibu,SERAWAI,SERAWAI,SERAWAI,SERAWAI,SERAWAI,SERAWAI,SERAWAI,,Bengkulu - Kabupaten Seluma,Bengkulu - Kabupaten Seluma,TANI,Islam,,SERAWAI,INDONESIA
,,,,,,,Ibu dari bapak,JAWA,JAWA,JAWA,JAWA,JAWA,JAWA,JAWA,SMA,#NAME?,#NAME?,WIRASWASTA,Islam,,JAWA,INDONESIA
,,,,,,,Bapak dari bapak,JAWA,JAWA,JAWA,JAWA,JAWA,JAWA,JAWA,SMA,#NAME?,#NAME?,PEGAWAI,Islam,,JAWA,INDONESIA
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Bengkulu-Unib-December-2013,PHJTCP,1994,Bengkulu - Kota Bengkulu,Perempuan,ORNAG TUA,6-12,Ibu,BENGKULU,PADANG GUCI,,PADANG GUCI,PADANG GUCI,PADANG GUCI,PADANG GUCI,SMA,#NAME?,Bengkulu,IBU RUMAH TANGGA,Islam,1970,PADANG GUCI,BENGKULU
,,,,,,,Bapak,BENGKULU,KEDURANG,BENGKULU,KEDURANG,KEDURANG,KEDURANG,KEDURANG,SMA,#NAME?,Sumatera Selatan - Kota Palembang,PETANI,Islam,1970,KEDURANG,BENGKULU
,,,,,,,Ibu dari ibu,PADANG GUCI,PADANG GUCI,PADANG GUCI,PADANG GUCI,PADANG GUCI,PADANG GUCI,PADANG GUCI,SD,#NAME?,#NAME?,,Islam,1945,PADANG GUCI,PADANG GUCI
,,,,,,,Bapak dari ibu,PADANG GUCI,PADANG GUCI,PADANG GUCI,PADANG GUCI,PADANG GUCI,PADANG GUCI,PADANG GUCI,SD,#NAME?,#NAME?,,Islam,1945,PADANG GUCI,PADANG GUCI
,,,,,,,Ibu dari bapak,KEDURANG,KEDURANG,KEDURANG,KEDURANG,KEDURANG,KEDURANG,KEDURANG,SD,#NAME?,#NAME?,,Islam,1955,KEDURANG,KEDURANG
,,,,,,,Bapak dari bapak,KEDURANG,KEDURANG,KEDURANG,KEDURANG,KEDURANG,KEDURANG,KEDURANG,SD,#NAME?,#NAME?,,Islam,1952,KEDURANG,KEDURANG
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Bengkulu-Unib-December-2013,XMVASW,1982,Bengkulu - Kota Bengkulu,Perempuan,ORANG TUA,3-5,Ibu,INDONESIA,BENGKULU,,BENGKULU,INDONESIA,"BENGKULU, INDONESIA",,SD,Bengkulu,Bengkulu,,Islam,1959,BENGKULU,BENGKULU
,,,,,,,Bapak,INDONESIA,SUNDA,,BENGKULU,INDONESIA,"BENGKULU, INDONESIA",,SD,Jawa Barat,Bengkulu,,Islam,1955,SUNDA,BENGKULU
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,Islam,,BENGKULU,SUNDA
,,,,,,,Bapak dari ibu,,,,,,,,,Bengkulu,,,Islam,,INDONESIA,SUNDA
,,,,,,,Ibu dari bapak,,,,,,,,,#NAME?, ,TANI,Islam,,,
,,,,,,,Bapak dari bapak,,,,,,,,,#NAME?, ,TANI,Islam,,,
,,,,,,,Istri/Suami,BENGKULU,BENGKULU,INDONESIA,BENGKULU,BENGKULU,BENGKULU,,S1,Bengkulu,Bengkulu,KARYAWAN SWASTA,Islam,1980,,
,,,,,,,Anak Anda,INDONESIA,INDONESIA,,INDONESIA,,INDONESIA,,,Bengkulu,Bengkulu,,Islam,2010,,
Bengkulu-Unib-December-2013,ITNKIA,1994,Bengkulu - Kabupaten Bengkulu Utara,Perempuan,ORANG TUA,1-2,Ibu,REJANG,,,REJANG,REJANG,BENGKULU,REJANG,SD,Bengkulu - Kabupaten Bengkulu Utara,Bengkulu - Kabupaten Bengkulu Utara,,Islam,1972,REJANG,REJANG
,,,,,,,Bapak,REJANG,,BENGKULU,REJANG,,REJANG,REJANG,SMP,Bengkulu - Kabupaten Bengkulu Utara,Bengkulu - Kabupaten Bengkulu Utara,,Islam,1971,REJANG,REJANG
,,,,,,,Ibu dari ibu,REJANG,,,REJANG,REJANG,BENGKULU,,SD,#NAME?,Bengkulu - Kabupaten Bengkulu Utara,PETANI,Islam,,REJANG,REJANG
,,,,,,,Bapak dari ibu,REJANG,,,REJANG,REJANG,BENGKULU,,SD,#NAME?,Bengkulu - Kabupaten Bengkulu Utara,PETANI,Islam,,REJANG,REJANG
,,,,,,,Ibu dari bapak,REJANG,,,REJANG,REJANG,BENGKULU,,SD,#NAME?,Bengkulu - Kabupaten Bengkulu Utara,PETANI,Islam,,REJANG,REJANG
,,,,,,,Bapak dari bapak,REJANG,,,REJANG,REJANG,BENGKULU,,SD,#NAME?,Bengkulu - Kabupaten Bengkulu Utara,PETANI,Islam,,REJANG,REJANG
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UDINUS-Oktober-2014,QVDQDU,1986,Jawa Tengah - Kota Salatiga,Perempuan,"Bapak, Ibu",lebih dari 24,Ibu,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Tengah - Kota Semarang,Jawa Tengah - Kota Semarang,,Islam,1963,Jawa,"Indonesia, Sunda"
,,,,,,,Bapak,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,SMP,Jawa Tengah - Kota Semarang, Jawa Tengah - Kota Semarang,Swasta,Islam,1965,Jawa,Indonesia
,,,,,,,Ibu dari ibu,Jawa,Sunda,"Jawa, Indonesia",Jawa,Jawa,"Jawa, Sunda",Sunda,,#NAME?,Jawa Tengah - Kota Semarang,Swasta,Islam,,"Sunda, Jawa",Indonesia
,,,,,,,Bapak dari ibu,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,,Jawa Tengah,Jawa Tengah - Kota Semarang,Swasta,Islam,,"Sunda, Jawa",Indonesia
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kota Semarang,Jawa Tengah - Kota Semarang,Tani,Islam,,Jawa,Indonesia
,,,,,,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kota Semarang,Jawa Tengah - Kota Semarang,Tani,Islam,,Jawa,Indonesia
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,Jawa,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UDINUS-Oktober-2014,QYZKYF,1994,Jawa Tengah - Kota Semarang,Perempuan,Nenek,6-12,Ibu,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,D3,Jawa Tengah - Kota Semarang,Jawa Tengah - Kota Semarang,,Islam,,Jawa,Indonesia
,,,,,,,Bapak,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Minang,D3,Riau,Riau,,Islam,,Minangkabau,Jawa
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Solo,Jawa Tengah - Kota Semarang,,Islam,,Minangkabau,Indonesia
,,,,,,,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Tengah - Kabupaten Blora, Jawa Tengah - Kota Semarang,PNS,Islam,,Jawa,Indonesia
,,,,,,,Ibu dari bapak,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Minangkabau,Riau,SD,Riau,Riau,,Islam,,Jawa,Indonesia
,,,,,,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,D,Jawa Tengah - Kabupaten Blora,Riau,,Islam,,Minangkabau,Indonesia
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,Jawa,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UDINUS-Oktober-2014,MFVLMV,1992,Jawa Tengah - Kabupaten Jepara,Laki,Orangtua,3-5,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Jepara,Jawa Tengah - Kabupaten Jepara,Wiraswasta,Islam,,Jawa,Arab
,,,,,,,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Tengah - Kabupaten Jepara,Jawa Tengah - Kabupaten Jepara,Wiraswasta,Islam,,Jawa,
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, , ,,Islam,,Jawa,
,,,,,,,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, , ,,Islam,,Jawa,
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, , ,,Islam,,Jawa,
,,,,,,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, , ,,Islam,,Jawa,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UDINUS-Oktober-2014,QDJRDF,1977,DKI Jakarta - Kota Jakarta,Perempuan,Orangtua,6-12,Ibu,Indonesia,Sunda,,"Indonesia, Jawa",Sunda,Sunda,Sunda,SMP,Jawa Barat - Kabupaten Ciamis,DKI Jakarta - Kota Jakarta,Ibu RT,Islam,1954,Sunda,Jawa
,,,,,,,Bapak,Indonesia,Sunda,"Indonesia, Inggris",Indonesia,Sunda,Sunda,Sunda,"SR, SD",Jawa Barat - Kabupaten Ciamis,DKI Jakarta - Kota Jakarta,Tentara,Islam,1942,Sunda,"Inggris, Jawa"
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UDINUS-Oktober-2014,VLLQXL,1994,Jawa Tengah - Kota Semarang,Perempuan,Orangtua,1-2,Ibu,"Indonesia, Jawa",Jawa,Jawa,Jawa,Jawa,"Indonesia, Jawa",Jawa,SMP,Jawa Tengah - Kabupaten Boyolali,Jawa Tengah - Kota Semarang,Wiraswasta,Islam,1974,Jawa,
,,,,,,,Bapak,Jawa,Jawa,"Indonesia, Jawa",Jawa,Jawa,"Indonesia, Jawa",Jawa,SMA,Jawa Tengah - Kota Semarang,Jawa Tengah - Kota Semarang,Wiraswasta,Islam,1968,Jawa,
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Indonesia,Jawa,,Jawa Tengah - Kabupaten Boyolali,Jawa Tengah - Kabupaten Boyolali,Petani,Islam,,Jawa,
,,,,,,,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Indonesia,Jawa,,Jawa Tengah - Kabupaten Boyolali,Jawa Tengah - Kabupaten Boyolali,Petani,Islam,,Jawa,
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kota Semarang,Jawa Tengah - Kota Semarang,,Islam,,Jawa,
,,,,,,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kota Semarang,Jawa Tengah - Kota Semarang,,Islam,,Jawa,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UDINUS-Oktober-2014,EFXQKJ,1992,Jawa Tengah - Kabupaten Rembang,Laki,Orangtua,3-5,Ibu,Ngoko,Ngoko,Ngoko,Ngoko,Ngoko,Ngoko,Jawa,SD,Jawa Tengah - Kabupaten Rembang,Jawa Tengah - Kabupaten Rembang,PNS,Islam,1960,Rembangan,
,,,,,,,Bapak,Ngoko,Ngoko,Ngoko,Ngoko,Ngoko,Ngoko,Jawa,SMA,Jawa Tengah - Kabupaten Rembang,Jawa Tengah - Kabupaten Rembang,Ibu rumah tangga,Islam,1960,Rembangan,
,,,,,,,Ibu dari ibu,,Ngoko,,,,,Jawa,,Jawa Tengah - Kabupaten Rembang,Jawa Tengah - Kabupaten Rembang,,Islam,1940,Rembangan,
,,,,,,,Bapak dari ibu,,Ngoko,,,,,Jawa,,Jawa Tengah - Kabupaten Rembang,Jawa Tengah - Kabupaten Rembang,,Islam,1930,Rembangan,
,,,,,,,Ibu dari bapak,,Ngoko,,,,,Jawa,,Jawa Tengah - Kabupaten Rembang,Jawa Tengah - Kabupaten Rembang,,,1930,Rembangan,
,,,,,,,Bapak dari bapak,,Ngoko,,,,,Jawa,,Jawa Tengah - Kabupaten Rembang,Jawa Tengah - Kabupaten Rembang,,Islam,1930,Rembangan,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UDINUS-Oktober-2014,SMAMNO,1993,Jawa Tengah - Kabupaten Klaten,Perempuan,Keluarga,lebih dari 24,Ibu,"Jawa Krama, Ngoko",Jawa Krama,Indonesia,Jawa,Jawa Krama,"Jawa, Indonesia",Jawa,SMA,#NAME?,Jawa Tengah - Kabupaten Klaten,Wiraswasta,Kristen (Protestan),1973,Semarang,
,,,,,,,Bapak,Jawa Ngoko,Jawa Ngoko,Indonesia,Jawa,Jawa Ngoko,"Jawa, Indonesia",Jawa,S1,Jawa Tengah - Kabupaten Klaten,Jawa Tengah - Kabupaten Klaten,Wirawasta,Kristen (Protestan),1965,Semarang,
,,,,,,,Ibu dari ibu,Jawa Ngoko,Jawa Ngoko,"Jawa, Indonesia",Jawa,Jawa Ngoko,Jawa,Jawa,SD,Jawa Tengah - Kota Semarang,Jawa Tengah - Kota Semarang,Ibu rumah tangga,Kristen (Protestan),,Jogja,
,,,,,,,Bapak dari ibu,Jawa Ngoko,Jawa Krama,"Jawa, Indonesia",Jawa,Jawa Ngoko,Jawa,Jawa,SMP,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Jawa Tengah - Kota Semarang,Satpam,Kristen (Protestan),,Jogja,
,,,,,,,Ibu dari bapak,Jawa Ngoko,,"Jawa, Indonesia",Jawa,Jawa Ngoko,Jawa,Jawa,,Jawa Tengah - Solo,Jawa Tengah - Kabupaten Klaten,Ibu rumah tangga,Kristen (Protestan),,Solo,
,,,,,,,Bapak dari bapak,Jawa Ngoko,,"Jawa, Indonesia",Jawa,Jawa Ngoko,Jawa,Jawa,,Jawa Tengah - Kabupaten Klaten,Jawa Tengah - Kabupaten Klaten,PNS,Kristen (Protestan),,Solo,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,Klaten,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UDINUS-Oktober-2014,ONCYAC,1994,Jawa Tengah,Laki,Orangtua,3-5,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,"Jawa, Indonesia",Jawa,SLTA,#NAME?,Jawa Tengah - Kabupaten Banjarnegara,Pegawai,Islam,1965,Jawa,Indonesia
,,,,,,,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,"Jawa, Indonesia",Jawa,STM,#NAME?,Jawa Tengah - Kabupaten Banjarnegara,Swasta,Islam,1958,Jawa,Indonesia
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,#NAME?,#NAME?,,Islam,,Jawa,
,,,,,,,Bapak dari ibu,Jawa,Indonesia,Indonesia,Jawa,Jawa,Jawa,Batak,,#NAME?,#NAME?,Guru,Islam,,Indonesia,
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,#NAME?,#NAME?,,Islam,,Jawa,
,,,,,,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,#NAME?,#NAME?,,Islam,,Jawa,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UDINUS-Oktober-2014,CZHPMT,1993,Jawa Tengah - Kota Semarang,Laki,Orangtua,12-24,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,SMP,Jawa Tengah - Kota Semarang,Jawa Tengah - Kota Semarang,Pramuniaga,Islam,1970,Jawa,
,,,,,,,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,SMP,Jawa Tengah - Kota Semarang,Jawa Tengah - Kota Semarang,,Islam,1960,Jawa,
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,, ,Jawa Tengah - Kota Semarang,,Islam,1950,Jawa,
,,,,,,,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,, ,Jawa Tengah - Kota Semarang,,Islam,1950,Jawa,
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,, ,Jawa Tengah - Kota Semarang,,Islam,1940,Jawa,
,,,,,,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,, ,Jawa Tengah - Kota Semarang,,Islam,,Jawa,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UDINUS-Oktober-2014,TKWWCB,1994,Jawa Tengah - Ungaran,Perempuan,Orangtua,lebih dari 24,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Tengah - Ungaran, Jawa Tengah - Ungaran,Wiraswasta,Islam,1975,Jawa,Jawa Pekalongan
,,,,,,,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,S1,"Jawa Tengah - Unggaran, Semarang",Jawa Tengah - Ungaran,Pegawai swasta,Islam,1967,Jawa,Jawa Pekalongan
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UDINUS-Oktober-2014,JNFNZI,1995,Jawa Tengah - Kota Semarang,Perempuan,Orangtua,1-2,Ibu,Indonesia,Jawa,Indonesia,"Indonesia, Jawa",Indonesia,"Indonesia, Jawa",Jawa,S1,Jawa Tengah - Kota Semarang,Jawa Tengah - Kota Semarang,Guru,Islam,1968,Jawa,
,,,,,,,Bapak,Indonesia,Batak,Indonesia,Indonesia,Indonesia,"Batak, Indonesia",Batak,SMA,Sumatera Utara - Kota Medan,Jawa Tengah - Kota Semarang,,Islam,1966,Batak,
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UDINUS-Oktober-2014,SQVLNM,1994,Jawa Tengah - Kabupaten Pati,Perempuan,Orangtua,12-24,Ibu,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,S1,Jawa Tengah - Kabupaten Pati,Jawa Tengah - Kabupaten Pati,Guru,Islam,1964,Jawa,Indonesia
,,,,,,,Bapak,Jawa,Jawa,"Indonesia, Jawa",Jawa,Jawa,Jawa,Jawa,STM,Jawa Tengah - Kabupaten Pati,Jawa Tengah - Kabupaten Pati,Wiraswasta,Islam,1970,Jawa,Indonesia
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UDINUS-Oktober-2014,AYSQRK,1993,Jawa Tengah - Kabupaten Blora,Perempuan,Orangtua,12-24,Ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UDINUS-Oktober-2014,WMCUVW,1993,Jawa Tengah - Kota Semarang,Perempuan,Keluarga,lebih dari 24,Ibu,"Indonesia, Jawa","Indonesia, Jawa, Belanda",Indonesia,Indonesia,"Indonesia, Jawa","Indonesia, Jawa",Jawa Belanda,SMA,Jawa Tengah - Kota Semarang,Jawa Tengah - Kota Semarang,Ibu rumah tangga,Kristen (Protestan),1971,Indonesia,"Jawa, Inggris, Belanda"
,,,,,,,Bapak,"Indonesia, Jawa","Indonesia, Jawa","Indonesia, Jawa, Inggris",Indonesia,"Indonesia, Jawa","Indonesia, Jawa",Jawa,Sarjana,Jawa Tengah - solo,Jawa Tengah - Kota Semarang,Swasta,Kristen (Protestan),1964,Jawa,"Indonesia, Inggris"
,,,,,,,Ibu dari ibu,Jawa,"Belanda, Jawa",,Jawa,,Jawa,Jawa Belanda,,Jawa Tengah - Kota Semarang,Jawa Tengah - Kota Semarang,Ibu rumah tangga,Kristen (Katolik),1944,Belanda,"Indonesia, Jawa"
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,Belanda,Indonesia
,,,,,,,Ibu dari bapak,"Indonesia, Jawa",Jawa,,"Indonesia, Jawa",Jawa Alus,"Indonesia, Jawa",Jawa,Sarjana,Jawa Tengah - Kota Surakarta,Jawa Tengah - Kota Surakarta,,Kristen (Protestan),1945,Jawa,Indonesia
