session,birth_year,home_location,sex,caretaker,visit_frequency,ibu_curr_home_lang,ibu_past_home_lang,ibu_work_lang,ibu_neighbor_lang,ibu_partner_lang,ibu_family_lang,ibu_ethnicity,ibu_education,ibu_past_home,ibu_curr_home,ibu_profession,ibu_religion,ibu_birth_year,ibu_first_lang,ibu_other_langs,bapak_curr_home_lang,bapak_past_home_lang,bapak_work_lang,bapak_neighbor_lang,bapak_partner_lang,bapak_family_lang,bapak_ethnicity,bapak_education,bapak_past_home,bapak_curr_home,bapak_profession,bapak_religion,bapak_birth_year,bapak_first_lang,bapak_other_langs,ibu_dari_ibu_curr_home_lang,ibu_dari_ibu_past_home_lang,ibu_dari_ibu_work_lang,ibu_dari_ibu_neighbor_lang,ibu_dari_ibu_partner_lang,ibu_dari_ibu_family_lang,ibu_dari_ibu_ethnicity,ibu_dari_ibu_education,ibu_dari_ibu_past_home,ibu_dari_ibu_curr_home,ibu_dari_ibu_profession,ibu_dari_ibu_religion,ibu_dari_ibu_birth_year,ibu_dari_ibu_first_lang,ibu_dari_ibu_other_langs,bapak_dari_ibu_curr_home_lang,bapak_dari_ibu_past_home_lang,bapak_dari_ibu_work_lang,bapak_dari_ibu_neighbor_lang,bapak_dari_ibu_partner_lang,bapak_dari_ibu_family_lang,bapak_dari_ibu_ethnicity,bapak_dari_ibu_education,bapak_dari_ibu_past_home,bapak_dari_ibu_curr_home,bapak_dari_ibu_profession,bapak_dari_ibu_religion,bapak_dari_ibu_birth_year,bapak_dari_ibu_first_lang,bapak_dari_ibu_other_langs,ibu_dari_bapak_curr_home_lang,ibu_dari_bapak_past_home_lang,ibu_dari_bapak_work_lang,ibu_dari_bapak_neighbor_lang,ibu_dari_bapak_partner_lang,ibu_dari_bapak_family_lang,ibu_dari_bapak_ethnicity,ibu_dari_bapak_education,ibu_dari_bapak_past_home,ibu_dari_bapak_curr_home,ibu_dari_bapak_profession,ibu_dari_bapak_religion,ibu_dari_bapak_birth_year,ibu_dari_bapak_first_lang,ibu_dari_bapak_other_langs,bapak_dari_bapak_curr_home_lang,bapak_dari_bapak_past_home_lang,bapak_dari_bapak_work_lang,bapak_dari_bapak_neighbor_lang,bapak_dari_bapak_partner_lang,bapak_dari_bapak_family_lang,bapak_dari_bapak_ethnicity,bapak_dari_bapak_education,bapak_dari_bapak_past_home,bapak_dari_bapak_curr_home,bapak_dari_bapak_profession,bapak_dari_bapak_religion,bapak_dari_bapak_birth_year,bapak_dari_bapak_first_lang,bapak_dari_bapak_other_langs
NANRNF,1990,Bali - Kabupaten Buleleng,Perempuan,Orangtua,1-2,"Bali, Melayu",Bali,Bali,Bali,Melayu,"Bali, Melayu",Bali,SMA,Bali - Kota Denpasar,Bali - Kota Denpasar,Ibu rumah tangga,Islam,1956,Bali,Indonesia,Melayu,Melayu,Indonesia,Bali,Melayu,"Bali, Melayu",Melayu,S1,Bali - Kota Denpasar,Bali - Kota Denpasar,PNS,Islam,1952,Melayu,Indonesia,Bali,Bali,Bali,Bali,Bali,Bali,Bali,,Bali - Kota Denpasar, Bali - Kota Denpasar,Ibu rumah tangga,Islam,1928,Bali,Indonesia,Bali,Bali,Bali,Bali,Bali,Bali,Bali,,Bali - Kota Denpasar,Bali - Kota Denpasar,Petani,Islam,1924,Bali,Indonesia,Melayu,Jawa,Melayu,Bali,Melayu,"Jawa, Melayu",Jawa,, Jawa,Bali - Kota Denpasar,IRT,Islam,1935,Jawa,Melayu,Melayu,Melayu,Indonesia,Bali,Melayu,Melayu,Malaysia,,di luar Indonesia - Malaysia,Bali - Kota Denpasar,Pegawai KUA,Islam,1930,Melayu,Melayu
BPGGZA,1989,Jawa Timur - Kabupaten Jombang,Perempuan,Orangtua,0,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Jombang,Jawa Timur - Kabupaten Jombang,Ibu rumah tangga,Islam,19,Jawa dialek Jombang,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Jombang,Jawa Timur - Kabupaten Jombang,Petani,Islam,,Jawa dialek Jombang,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Jombang,Jawa Timur - Kabupaten Jombang,Ibu rumah tangga,Islam,,Jawa,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
MHZJSX,1990,Jawa Timur - Kota Mojokerto,Perempuan,Orangtua,3-5,"Jawa, Mojokerto,  Suroboyo",Jawa Tegal napak,Swasta PT. Tjiwi Kimia,Jawa,Jawa krama Madya,Jawa,"Jawa, Mojokerto",SMP,#NAME?,Jawa Timur - Kabupaten Mojokerto,Swasta,Islam,,"Jawa, Mojokerto, Suroboyan","Jawa, Malangan","Jawa, Mojokerto, Suroboyan",Jawa dialek Mojokerto Surabaya,Swasta PT Mertexx,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,Swasta,Islam,,Jawa dialek Mojokerto Surabaya,Jawa dialek Mojokerto Surabaya,Jawa Malang,Jawa Jember,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Jember,Jawa Timur - Kabupaten Malang,Petani,Islam,,Jawa Jember,Jawa Tegal,,Jawa kediri,,,,,Jawa,," Kediri, Malang, Cilacap",Jawa Timur - Kabupaten Malang,Petani,Islam,,Jawa Jember,Jawa Tegal,Jawa,Jawa Mojokerto,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,,Islam,,Jawa kediri,Jawa Malang,,,,,,,Jawa,,Jawa Timur - Kabupaten Mojokerto, ,PNS,Islam,,Jawa kediri,Jawa
OLJTWW,1991,Jawa Timur - Kabupaten Mojokerto,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,Ibu rumah tangga,Islam,1972,Jawa dialek Mojokerto-Surabaya,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,"Kepala dusun, Wiraswasta",Islam,1965,Jawa dialek Mojokerto-Surabaya,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD/MI,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,Petani,Islam,1952,Jawa dialek Mojokerto-Surabaya,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD/MI,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,Petani,Islam,1948,Jawa dialek Mojokerto-Surabaya,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD/MI,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,Penjahit,Islam,1948,Jawa dialek Mojokerto-Surabaya,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD/MI,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,Petani,Islam,1942,Jawa dialek Mojokerto-Surabaya,Indonesia
XMERKP,1990,Jawa Tengah - Kabupaten Semarang,Perempuan,Orangtua,3-5,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Cilacap, Jawa Tengah - Kabupaten Cilacap,Petani,Islam,1974,Jawa dialek Banyumas,Sunda,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Cilacap,Jawa Tengah - Kabupaten Cilacap,Pedagang,Islam,1966,Jawa dialek Banyumas,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Cilacap,Jawa Tengah - Kabupaten Cilacap,Petani,Islam,,Jawa dialek Banyumas,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Cilacap,Jawa Tengah - Kabupaten Cilacap,Petani,Islam,,Jawa dialek Banyumas,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Cilacap,Jawa Tengah - Kabupaten Cilacap,Petani,Islam,,Jawa dialek Banyumas,Sunda,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Cilacap,Jawa Tengah - Kabupaten Cilacap,Petani,Islam,,Jawa dialek Banyumas,
BHUQBI,1988,Jawa Tengah - Kabupaten Brebes,Laki,Orangtua,lebih dari 24,Jawa,Jawa,Jawa,Jawa,Jawa,"Indonesia, Jawa",Indonesia,SMA,Jawa Tengah - Kabupaten Brebes,Jawa Tengah - Kabupaten Brebes,Pedagang,Islam,1970,Jawa,Indonesia,Jawa,Jawa,Jawa,"Indonesia, Jawa",Jawa,"Indonesia, Jawa",Indonesia,SMP (tidak tamat),Jawa Tengah - Kabupaten Brebes,Jawa Tengah - Kabupaten Brebes,Wiraswasta/ sopir,Islam,1970,Jawa,Indonesia,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,SR,Jawa Tengah - Kabupaten Brebes,Jawa Tengah - Kabupaten Brebes,Pedagang,Islam,1973,Jawa,Indonesia,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,SR,Jawa Tengah - Kabupaten Brebes,Jawa Tengah - Kabupaten Brebes,Pedagang,Islam,1973,Jawa,Indonesia,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,SR,Jawa Tengah - Kabupaten Brebes,Jawa Tengah - Kabupaten Brebes,Pedagang,Islam,1973,Jawa,Indonesia,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,SR,Jawa Tengah - Kabupaten Brebes,Jawa Tengah - Kabupaten Brebes,"Pedagang",Islam,1973,Jawa,Indonesia
WAMPWA,1987,Jawa Tengah - Kabupaten Brebes,Laki,Orangtua,lebih dari 24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Brebes,Jawa Tengah - Kabupaten Brebes,Petani,Islam,1975,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Brebes,Jawa Tengah - Kabupaten Brebes,Petani,Islam,1968,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Brebes, ,Petani,Islam,1940,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Brebes, ,Petani,Islam,1950,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Brebes, ,Petani,Islam,1950,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Brebes, ,Petani,Islam,1940,Jawa,
SKAXVZ,1983,Jawa Tengah - Kabupaten Tegal,Laki,Orangtua,lebih dari 24,Tegal,Tegal,,Tegal,Tegal,Tegal,Jawa,SMEA,Jawa Tengah - Kabupaten Tegal,Jawa Tengah - Kabupaten Tegal,Ibu rumah tangga,Islam,1961,Tegal,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SGD,Jawa Tengah - Kabupaten Magelang,Jawa Tengah - Kabupaten Tegal,Polri,Islam,1954,Jawa,Indonesia,Tegal,Tegal,,Tegal,Tegal,Tegal,Jawa,,Jawa Tengah - Kabupaten Jepara,Jawa Tengah - Kabupaten Tegal,,Islam,,Tegal,Tegal,Tegal,Tegal,,Tegal,Tegal,Tegal,Jawa,,Jawa Tengah - Kabupaten Tegal,Jawa Tengah - Kabupaten Tegal,,Islam,,Tegal,Tegal,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Magelang,Jawa Tengah - Kabupaten Magelang,,Islam,,Jawa,Jawa,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Magelang,Jawa Tengah - Kabupaten Magelang,,Islam,,Jawa,Jawa
ZKLCHY,1987,Jawa Tengah - Kabupaten Semarang,Perempuan,Orangtua,1-2,"Jawa, Indonesia",Jawa,"Jawa, Indonesia","Jawa, Indonesia",Jawa,"Jawa, Indonesia",Jawa,D II,Jawa Tengah - Kabupaten Semarang,Jawa Tengah - Kabupaten Semarang,Guru SD,Islam,1950,Jawa,,"Jawa, Indonesia",Jawa,"Jawa, Indonesia","Jawa, Indonesia",Jawa,"Jawa, Indonesia",Jawa,SMK,Jawa Tengah - Kabupaten Semarang,Jawa Tengah - Kabupaten Semarang,Pegawai BUMN,Islam,1944,Jawa,,"Jawa, Indonesia","Jawa, Indonesia",Indonesia,Jawa,Jawa,Jawa,Jawa,SMP,Purworejo - Jakarta,Jawa Tengah - Kabupaten Semarang,Guru,Islam,1920,Jawa,,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,SMP,Madiun - Semarang,Jawa Tengah - Kabupaten Semarang,Tentara,Islam,1920,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Tidak diketahui,Jawa Tengah - Kabupaten Wonogiri,Jawa Tengah - Kabupaten Wonogiri,Ibu rumah tangga,Tidak diketahui,1900,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Tidak diketahui,Jawa Tengah - Kabupaten Wonogiri,Jawa Tengah - Kabupaten Wonogiri,Petani Perangkat Desa,Tidak diketahui,1890,Jawa,
SQLWOZ,1990,Jawa Tengah - Kabupaten Rembang,Perempuan,"Ibu, nenek, kakek, adik",lebih dari 24,"Indonesia, Jawa",Jawa,Jawa,Jawa,"Indonesia, Jawa",Jawa,Jawa,D3,Jawa Tengah - Kabupaten Rembang,Jawa Tengah - Kabupaten Rembang,Wirausaha,Islam,1965,Jawa dialek Rembang,Jawa dialek Rembang,Indonesia,Betawi,Indonesia,Indonesia,"Indonesia, Jawa",Indonesia,Jawa,S1,DKI Jakarta - Jakarta,Kalimantan Selatan - Kota Banjarmasin,,Islam,1963,Betawi,"Indonesia, Jawa",,,,,,,,, , ,,,,Betawi,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
PMYSUL,1992,Nusa Tenggara Barat - Kota Praya,Perempuan,Orangtua,3-5,Sasak,Sasak,Indonesia,"Sasak, Indonesia",Sasak,"Sasak, Indonesia",Sasak,S1,Nusa Tenggara Barat - Kota Praya, Nusa Tenggara Barat - Kota Praya,Pengawas SDN,Islam,1967,Sasak/ Dialek Praya,Dialek Pagutan,Sasak,Sasak,Indonesia,"Sasak, Indonesia",Sasak,"Sasak, Indonesia",Sasak,SMEA,Nusa Tenggara Barat - Kota Pagutan,Nusa Tenggara Barat - Kota Praya,Guru/ PNS,Islam,1964,Sasak/ Dialek Pagutan,Dialek Praya,,,,,,,,, , ,,,,,Dialek Praya,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
WGVSFD,1990,Jawa Tengah - Kabupaten Purworejo,Perempuan,"Orangtua, adik",1-2,Jawa,Jawa,"Indonesia, Jawa",Jawa,Jawa,Jawa,Jawa,S2,Jawa Tengah - Kabupaten Purworejo,Jawa Tengah - Kabupaten Purworejo,PNS,Islam,1950,Jawa,Indonesia,Jawa,Jawa,"Indonesia, Jawa",Jawa,Jawa,Jawa,Jawa,S2,Jawa Tengah - Kabupaten Blora,Jawa Tengah - Kabupaten Purworejo,PNS,Islam,1950,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Gak tau,Jawa Tengah - Kabupaten Purworejo, Udah meninggal semua,Ibu rumah tangga,Islam,1920,Jawa,,Jawa,Jawa,"Indonesia, Jawa",Jawa,Jawa,Jawa,Jawa,Gak tau,Jawa Tengah - Kabupaten Purworejo, Udah meninggal semua,TNI,Islam,1920,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Gak tau,Jawa Tengah - Kabupaten Blora, Udah meninggal semua,Ibu rumah tangga,Islam,1920,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Gak tau,Jawa Tengah - Kabupaten Blora, Udah meninggal semua,Perangkat desa,Islam,1920,Jawa,
CCBHLM,1992,Kalimantan Utara - Kota Tarakan,Perempuan,Orangtua,1-2,Indonesia,Jawa,Indonesia,Indonesia,Indonesia,Jawa,Jawa,SMA,Jawa Timur - Kota Blitar,Kalimantan Utara - Kota Tarakan,IRT,Islam,1970,Jawa,Indonesia,Indonesia,Banjar,Indonesia,Indonesia,Indonesia,Indonesia,Banjar,D III,#NAME?,Kalimantan Utara - Kota Tarakan,PNS (guru),Islam,1950,Indonesia,Indonesia,,Jawa,,,,,Jawa,,Jawa Timur - Kota Blitar, ,,Islam,,Jawa,Indonesia,,Jawa,,,,,Jawa,,Jawa Timur - Kota Blitar, ,,Islam,,Jawa,Indonesia,,,,,,,Banjar,,Kalimantan Selatan - Kota Banjarmasin, ,,Islam,,Banjar,Indonesia,,,,,,,Banjar,,Kalimantan Selatan - Kota Banjarmasin, ,,Islam,,Banjar,Indonesia
FCJHTD,1989,Jawa Tengah - Kabupaten Pati,Laki,Orangtua,1-2,,,,,,,,, ,Jawa Tengah - Kabupaten Pati,,,,,,,,,,,,,, ,Jawa Tengah - Kabupaten Pati,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
NRHWML,1991,Jawa Tengah - Kabupaten Kudus,Perempuan,Orangtua,lebih dari 24,Jawa Ngoko,Jawa,SMPN1 Karang Anyar Demak,"Jawa Kromo, Ngoko","Jawa Kromo, Ngoko","Jawa Kromo, Ngoko",Jawa,S1,Jawa Tengah - Purwodadi,Jawa Tengah - Kabupaten Kudus,Guru (PNS),Islam,1965,Jawa,,Jawa Ngoko,Jawa,MA NU Miftahul Ulum Kudus,"Jawa Kromo, Ngoko","Jawa Kromo, Ngoko","Jawa Kromo, Ngoko",Jawa,S1,Jawa Tengah - Kabupaten Kudus,Jawa Tengah - Kabupaten Kudus,Guru,Islam,1958,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,,Jawa Tengah - Purwodadi, ,,Islam,1940,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,,Jawa Tengah - Purwodadi, ,PNS,Islam,1950,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,,Jawa Tengah - Kabupaten Kudus, ,Pengusaha,Islam,1940,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,,Jawa Tengah - Kabupaten Kudus, ,Pengusaha,Islam,1950,Jawa,
ZSNRDB,1974,Jawa Tengah - Solo,Laki,Orangtua,3-5,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Tengah - Solo,Jawa Tengah - Solo,Dagang,Islam,1960,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Tengah - Solo,Jawa Tengah - Solo,Dagang,Islam,1954,Jawa,Jawa,,,,,,,,, , ,,,,Jawa,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
TUQDDQ,1989,Jawa Tengah - Kabupaten Demak,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,,"Indonesia, Jawa",Jawa,Jawa,Jawa,SMP,Jawa Tengah - Kabupaten Demak,Jawa Tengah - Kabupaten Demak,Ibu RT,Islam,1960,Jawa,Indonesia,Jawa,Grobogan,"Indonesia, Jawa","Indonesia, Jawa",Jawa,Jawa,Jawa,SMA,Jawa Tengah - Kabupaten Grobogan,Jawa Tengah - Kabupaten Demak,Purnawirawan POLRI,Islam,1955,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Demak,Jawa Tengah - Kabupaten Demak,Ibu RT,Islam,1930,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Tengah - Kabupaten Demak,Jawa Tengah - Kabupaten Demak,Pejuang Veteran,Islam,1930,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Tengah - Kabupaten Grobogan,Jawa Tengah - Kabupaten Grobogan,Ibu RT,Islam,1930,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Grobogan,Jawa Tengah - Kabupaten Grobogan,Petani,Islam,1930,Jawa,Indonesia
NPBJEN,1990,Jawa Tengah - Kabupaten Pekalongan,Perempuan,Orangtua,6-12,Jawa,Dialek Jamber,,"Jawa, Indonesia",Jawa,"Jawa, Indonesia",Jawa,SMA,Jawa Timur - Kabupaten Jember,Jawa Tengah - Kota Pekalongan,Ibu rumah tangga,Islam,1965,Dialek Jamber,Jawa standar,Jawa,Dialek Jamber,Indonesia,"Jawa, Indonesia",Jawa,"Jawa, Indonesia",Jawa,S1,Jawa Timur - Kabupaten Jember,Jawa Tengah - Kota Pekalongan,PNS Guru,Islam,1963,Dialek Jamber,Jawa standar,,,,Dialek Jamber,Dialek Jamber,Dialek Jamber,Jawa,,Jawa Timur,Jawa Timur - Kabupaten Jember,,Islam,,Dialek Jamber,Jawa standar,,,,Dialek Jamber,Dialek Jamber,Dialek Jamber,Jawa,,Jawa Timur,Jawa Timur - Kabupaten Jember,TNI,Islam,,Dialek Jamber,Jawa standar,,,,Dialek Jamber,Dialek Jamber,Dialek Jamber,Jawa,,Jawa Timur,Jawa Timur - Kabupaten Jember,,Islam,,Dialek Jamber,Jawa standar,,,,Dialek Jamber,Dialek Jamber,Dialek Jamber,Jawa,,Jawa Timur,Jawa Timur - Kabupaten Jember,Guru,Islam,,Dialek Jamber,Jawa standar
WVNYOO,1989,Jawa Tengah - Kabupaten Demak,Laki,Ayah dan Ibu,lebih dari 24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Tengah - Kabupaten Demak,Jawa Tengah - Kabupaten Demak,,Islam,1968,Jawa,Tidak ada,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,S1,Jawa Tengah - Kabupaten Demak,Jawa Tengah - Kabupaten Demak,,Islam,1965,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Demak,Jawa Tengah - Kabupaten Demak,,Islam,1950,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Demak,Jawa Tengah - Kabupaten Demak,Tani,Islam,1948,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Demak,Jawa Tengah - Kabupaten Demak,Tani,Islam,1942,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Demak,Jawa Tengah - Kabupaten Demak,Tani,Islam,1941,Jawa,Jawa
VLTLGC,1983,Jawa Tengah - Kabupaten Semarang,Perempuan,Orangtua,1-2,Indonesia,Jawa timuran,"Jawa, Indonesia",Jawa Semarangan,"Jawa, Indonesia",Jawa timuran,Jawa Timur,Sarjana matematika,Jawa Timur,Jawa Tengah - Kabupaten Semarang,PNS,Islam,1959,Jawa Timur,Indonesia,Indonesia,Bali,"Jawa, Indonesia",Indonesia,"Jawa, Indonesia",Bali,Bali,Sarjana Hukum,Bali,Jawa Tengah - Kabupaten Semarang,PNS,Hindu,1950,Bali,"Indonesia, Inggris",Indonesia,Jawa Banyuwangian,Jawa Banyuwangian,Jawa Banyuwangian,Jawa Indonesia,Jawa Banyuwangian,Madura,SMP,Jawa Timur - Kabupaten Banyuwangi,Jawa Timur - Kabupaten Gresik,Berdagang,Islam,,Bali,Jawa timuran,Indonesia,Jawa Banyuwangian,Jawa Banyuwangian,Jawa Banyuwangian,Jawa Indonesia,Jawa Banyuwangian,Madura,SMA,Jawa Timur - Kabupaten Banyuwangi,Jawa Timur - Kabupaten Gresik,PNS,Islam,,Madura,Jawa timuran,Indonesia,Bali,Bali,Bali,Bali Indonesia,Bali,Bali,SMP,Bali - Kota Denpasar,Bali - Kota Denpasar,Bertani,Hindu,,Madura,Indonesia,Indonesia,Bali,Bali,Bali,Bali Indonesia,Bali,Bali,SMP,Bali - Kota Denpasar,Bali - Kota Denpasar,Bertani,Hindu,,Madura,Indonesia
LICPWE,1989,Jawa Tengah - Kabupaten Grobogan,Laki,"Ayah, ibu, dan saudara kandung",12-24,Jawa,Jawa,Grobogan,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Tengah - Kabupaten Grobogan,Jawa Tengah - Kabupaten Grobogan,Petani,Islam,,Jawa,Indonesia,Jawa,Jawa,Grobogan,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Tengah - Kabupaten Grobogan,Jawa Tengah - Kabupaten Grobogan,Buruh,Islam,,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SR,#NAME?,Jawa Tengah - Kabupaten Grobogan,Petani,Islam,1940,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SR,#NAME?,Jawa Tengah - Kabupaten Grobogan,Petani,Islam,1940,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SR,#NAME?,Jawa Tengah - Kabupaten Grobogan,Petani,Islam,1940,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SR,#NAME?,Jawa Tengah - Kabupaten Grobogan,Petani,Islam,1940,Jawa,Jawa
XXTISG,1974,Jawa Tengah,Perempuan,Orangtua,3-5,Jawa,Jawa,Indonesia,"Indonesia, Jawa",Jawa,"Indonesia, Jawa",Jawa,S,Jawa Tengah - Kabupaten Magelang,Jawa Tengah - Kabupaten Magelang,Guru,Islam,1944,Jawa,Indonesia,Jawa,Jawa,Indonesia,"Indonesia, Jawa",Jawa,"Indonesia, Jawa",Jawa,,Jawa Tengah - Kabupaten Magelang,Jawa Tengah - Kabupaten Magelang,Jaksa,Islam,1944,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,,Jawa Tengah - Kabupaten Magelang,Jawa Tengah - Kabupaten Magelang,IRT,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,,Jawa Tengah - Kabupaten Magelang,Jawa Tengah - Kabupaten Magelang,Petani,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,,Jawa Tengah - Kabupaten Magelang,Jawa Tengah - Kabupaten Magelang,Petani,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,,Jawa Tengah - Kabupaten Magelang,Jawa Tengah - Kabupaten Magelang,Petani,Islam,,Jawa,
