Comments_Page1,Session_token,Person_ID,Year_of_birth,Location_grew_up,Sex,Lived_with_who_when_growing_up,Comments_page5,z_calc_Button_label_locations_list,z_calc_Count_other_people,kinships::z_calc_Beliau_label,kinships::z_calc_Where_label,kinships::z_calc_With_who_label,other_people::Ethnicity,other_people::Kinship_type,other_people::Language_used_at_home_now,other_people::Language_used_at_home_when_young,other_people::Language_used_at_home_at_workplace,other_people::Language_used_at_home_with_neighbours,other_people::Language_used_at_home_with_partner,other_people::Language_used_at_home_with_relatives,other_people::Last_level_of_education,other_people::Location_grewup,other_people::Location_of_home,other_people::Profession,other_people::Religion,other_people::Year_of_birth,other_peoples_languages_FirstLanguage::Language_name,other_peoples_languages_OtherLanguages::Language_name
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Wiraswasta,Islam,1974,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Meraurak,Jawa Timur - Meraurak,Ibu rumah tangga,Islam,1930,Jawa,Jawa
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Meraurak,Jawa Timur - Meraurak,Wiraswasta,Islam,1929,Jawa,Jawa
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Meraurak,Jawa Timur - Meraurak,Ibu rumah tangga,Islam,,Jawa,Jawa
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Meraurak,Jawa Timur - Meraurak,Wiraswasta,Islam,,Jawa,Jawa
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Tuban-UNIROW-Oktober-2014,VWFTPO,1.50627E+23,1993,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,Jawa,Jawa,,Jawa,Jawa,Jawa,S1,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Guru,Islam,1965,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Jawa,Jawa,,Jawa,Jawa,Jawa,SMK,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Tuban,TNI,Islam,1961,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari ibu,Jawa,Jawa,,Jawa,Jawa,Jawa,Taman Siswa,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,1942,Jawa,Jawa
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari ibu,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Penilik,Islam,1933,Jawa,Jawa
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,,Islam,1945,Jawa,Jawa
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kota Mojokerto,,Islam,1930,Jawa,Jawa
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,Jawa,Istri/Suami,Jawa,Jawa,"Indonesia, Jepang",Jawa,Jawa,Jawa,SMK,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Pelajar,Islam,1987,Jawa,"Indonesia, Jepang"
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,Jawa,Anak Anda,"Jawa, Indonesia",Jawa,,"Jawa, Indonesia","Jawa, Indonesia",,,Jawa Timur - Kabupaten Tuban, Jawa Timur - Kabupaten Tuban,,Islam,2012,Jawa,"Indonesia, Jepang"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia
Tuban-UNIROW-Oktober-2014,JPITTU,1.50627E+23,1993,Jawa Timur - Kabupaten Lamongan,Perempuan,Nenek,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,Jawa,Jawa,,"Jawa, Melayu",Jawa,Jawa,SD,di luar Indonesia - Malaysia,di luar Indonesia - Malaysia,Wiraswasta,Islam,1970,Jawa,Melayu
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Jawa,Jawa,,"Jawa, Melayu",Jawa,Jawa,SD,di luar Indonesia - Malaysia,di luar Indonesia - Malaysia,Wiraswasta,Islam,1968,Jawa,Melayu
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Penjual ikan,Islam,1925,Jawa,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Nelayan,Islam,1920,Jawa,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Petani,Islam,1935,Jawa,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Petani,Islam,1930,Jawa,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Tuban-UNIROW-Oktober-2014,NAYYBB,1.50909E+23,1994,Jawa Timur - Kabupaten Tuban,Laki,Keluarga,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,Jawa,Jawa,Indonesia,Jawa,,Jawa,SD,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Jawa,Jawa,Indonesia,Jawa,,Jawa,SMP,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Tuban-UNIROW-Oktober-2014,FJKZQL,1.50909E+23,1992,Kalimantan Timur - Kota Balikpapan,Perempuan,Keluarga,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,SMA,Kalimantan Timur - Kota Balikpapan,Jawa Timur - Kabupaten Tuban,Karyawan,Islam,1963,Jawa Tengah,Jawa Timur
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,SMA,Kalimantan Timur - Kota Balikpapan,Jawa Timur - Kabupaten Tuban,TNI AL,Islam,1966,Jawa Timur,Jawa Timur
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Tuban-UNIROW-Oktober-2014,WMPMWR,1.50909E+23,1990,di luar Indonesia - Malaysia,Laki,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,"Melayu, Jawa, Madura",Jawa,,"Melayu, Jawa, Madura","Melayu, Jawa, Madura","Melayu, Jawa, Madura",SD,#NAME?,di luar Indonesia - Malaysia,,Islam,,Jawa,"Melayu, Indonesia"
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,"Melayu, Jawa, Madura","Jawa, Madura",,"Melayu, Jawa, Madura","Melayu, Jawa, Madura","Melayu, Jawa, Madura",SMP,#NAME?,di luar Indonesia - Malaysia,,Islam,,"Jawa, Madura","Melayu, Indonesia"
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,"Jawa, Madura",
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Tuban-UNIROW-Oktober-2014,FGTIKB,1.50909E+23,1994,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,Jawa Ngoko,Jawa,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,SMK,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Wiraswasta,Islam,1973,Jawa Tuban,"Indonesia, Jawa"
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Jawa Ngoko,Jawa,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,SMA,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Tuban,Guru,Islam,1968,Jawa Lamongan,"Indonesia, Jawa"
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Petani,Islam,1952,Jawa Krama,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Petani,Islam,1952,Jawa Tuban,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Petani,Islam,1948,Jawa Tuban,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Petani,Islam,1948,Jawa Lamongan,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,Jawa Lamongan,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Tuban-UNIROW-Oktober-2014,AXKIHD,1.60307E+23,1993,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,Jawa Krama,Jawa,,Jawa Krama,,Jawa Krama,SMA,Jawa Timur - Kabupaten Malang,Jawa Timur - Kabupaten Tuban,Ibu rumah tangga,Islam,1969,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Jawa,Jawa,,Jawa,,Jawa,SMA,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Swasta,Islam,1970,Jawa,"Inggris, Indonesia"
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,"Inggris, Indonesia"
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Tuban-UNIROW-Oktober-2014,FWVOLG,1.60307E+23,1996,Jawa Tengah - Kabupaten Rembang,Perempuan,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Rembang,Jawa Tengah - Kabupaten Rembang,,Islam,1960,Jawa,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Tengah - Kabupaten Rembang,Jawa Tengah - Kabupaten Rembang,,Islam,1950,Jawa,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Rembang, Jawa Tengah - Kabupaten Rembang,,Islam,,Jawa,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Rembang,Jawa Tengah - Kabupaten Rembang,,Islam,,Jawa,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Rembang, Jawa Tengah - Kabupaten Rembang,,Islam,,Jawa,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Rembang,Jawa Tengah - Kabupaten Rembang,,Islam,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Tuban-UNIROW-Oktober-2014,HGZSBL,1.60307E+23,1995,Jawa Tengah - Kabupaten Rembang,Perempuan,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Tengah - Kabupaten Rembang,Jawa Tengah - Kabupaten Rembang,Ibu Rumah Tangga,Islam,1970,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Tengah - Kabupaten Rembang,Jawa Tengah - Kabupaten Rembang,Wiraswasta,Islam,1970,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,Jawa,Jawa,,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Rembang,Jawa Tengah - Kabupaten Rembang,Petani,Islam,1950,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,Jawa,Jawa,,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Rembang,Jawa Tengah - Kabupaten Rembang,PNS,Islam,1950,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,Jawa,Jawa,,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Rembang,Jawa Tengah - Kabupaten Rembang,Petani,Islam,1950,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,Jawa,Jawa,,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Rembang,Jawa Tengah - Kabupaten Rembang,Petani,Islam,1950,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Tuban-UNIROW-Oktober-2014,SYYMKI,1.60308E+23,1995,Jawa Barat - Kabupaten Karawang,Perempuan,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur,Jawa Timur - Kabupaten Tuban,,Islam,1972,Jawa,Sunda
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Timur,Jawa Timur - Kabupaten Tuban,,Islam,1974,Jawa,Sunda
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur, ,,Islam,,Jawa,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur, ,,Islam,,Jawa,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur, ,,Islam,,Jawa,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur, ,,Islam,,Jawa,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Tuban-UNIROW-Oktober-2014,RANLIX,1.60308E+23,1994,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,,Pilih lokasi dari propinsi ini saja,11,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,Kromo,"Ngoko, Kromo",Kromo,Kromo,Kromo,Kromo,SMP,#NAME?,Jawa Timur - Kabupaten Tuban,Petani,Islam,1981,Kromo Inggil,Ngoko
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Kromo,"Ngoko, Kromo",Kromo,Kromo,Kromo,Kromo,SD,#NAME?,Jawa Timur - Kabupaten Tuban,Wiraswasta,Islam,1977,Kromo Inggil,Ngoko
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Tuban-UNIROW-Oktober-2014,AARZIP,1.60309E+23,1992,Jawa Timur - Kabupaten Tuban,Perempuan,"Ibu, ayah",,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,Jawa,Jawa,,,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kelurahan Karang,Ibu rumah tangga,Islam,1970,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Jawa,Jawa,Jawa,,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban,Jawa Timur - Desa Gunung Anyar - Tuban,Petani,Islam,1969,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari ibu,Plumpang,Jawa,,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari ibu,,Jawa,Jawa,Jawa,Jawa,Jawa,SR,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Petani,Islam,,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari bapak,Soko,Jawa,,Jawa,Jawa,Jawa,SR,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Pedagang,Islam,,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari bapak,,Jawa,Jawa,Jawa,Jawa,Jawa,SR,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Petani,Islam,,Jawa,Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
Tuban-UNIROW-Oktober-2014,JUNCDC,1.60309E+23,1993,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Ibu,Jawa,Jawa,Indonesia,Jawa,Jawa,Inggris,SMA,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Wiraswasta,Islam,,Jawa,"Inggris, Indonesia"
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Bapak,Jawa,Jawa,Inggris,Indonesia,Indonesia,Indonesia,SMA,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Wiraswasta,Islam,,"Indonesia, Arab",Jawa
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,Indonesia,Jawa,,,,,,Jawa Timur, ,,Islam,,"Indonesia, Arab",Indonesia
