session,birth_year,home_location,sex,caretaker,visit_frequency,ibu_curr_home_lang,ibu_past_home_lang,ibu_work_lang,ibu_neighbor_lang,ibu_partner_lang,ibu_family_lang,ibu_ethnicity,ibu_education,ibu_past_home,ibu_curr_home,ibu_profession,ibu_religion,ibu_birth_year,ibu_first_lang,ibu_other_langs,bapak_curr_home_lang,bapak_past_home_lang,bapak_work_lang,bapak_neighbor_lang,bapak_partner_lang,bapak_family_lang,bapak_ethnicity,bapak_education,bapak_past_home,bapak_curr_home,bapak_profession,bapak_religion,bapak_birth_year,bapak_first_lang,bapak_other_langs,ibu_dari_ibu_curr_home_lang,ibu_dari_ibu_past_home_lang,ibu_dari_ibu_work_lang,ibu_dari_ibu_neighbor_lang,ibu_dari_ibu_partner_lang,ibu_dari_ibu_family_lang,ibu_dari_ibu_ethnicity,ibu_dari_ibu_education,ibu_dari_ibu_past_home,ibu_dari_ibu_curr_home,ibu_dari_ibu_profession,ibu_dari_ibu_religion,ibu_dari_ibu_birth_year,ibu_dari_ibu_first_lang,ibu_dari_ibu_other_langs,bapak_dari_ibu_curr_home_lang,bapak_dari_ibu_past_home_lang,bapak_dari_ibu_work_lang,bapak_dari_ibu_neighbor_lang,bapak_dari_ibu_partner_lang,bapak_dari_ibu_family_lang,bapak_dari_ibu_ethnicity,bapak_dari_ibu_education,bapak_dari_ibu_past_home,bapak_dari_ibu_curr_home,bapak_dari_ibu_profession,bapak_dari_ibu_religion,bapak_dari_ibu_birth_year,bapak_dari_ibu_first_lang,bapak_dari_ibu_other_langs,ibu_dari_bapak_curr_home_lang,ibu_dari_bapak_past_home_lang,ibu_dari_bapak_work_lang,ibu_dari_bapak_neighbor_lang,ibu_dari_bapak_partner_lang,ibu_dari_bapak_family_lang,ibu_dari_bapak_ethnicity,ibu_dari_bapak_education,ibu_dari_bapak_past_home,ibu_dari_bapak_curr_home,ibu_dari_bapak_profession,ibu_dari_bapak_religion,ibu_dari_bapak_birth_year,ibu_dari_bapak_first_lang,ibu_dari_bapak_other_langs,bapak_dari_bapak_curr_home_lang,bapak_dari_bapak_past_home_lang,bapak_dari_bapak_work_lang,bapak_dari_bapak_neighbor_lang,bapak_dari_bapak_partner_lang,bapak_dari_bapak_family_lang,bapak_dari_bapak_ethnicity,bapak_dari_bapak_education,bapak_dari_bapak_past_home,bapak_dari_bapak_curr_home,bapak_dari_bapak_profession,bapak_dari_bapak_religion,bapak_dari_bapak_birth_year,bapak_dari_bapak_first_lang,bapak_dari_bapak_other_langs,dengan_ibu_lang,dengan_bapak_lang,dengan_kakak_adik_lang,dengan_nenek_dan_kakek_lang,dengan_suami_istri_lang,dengan_sanak_saudara_lang,dengan_tetangga_lang,dengan_pembantu_lang,apabila_marah_lang,dalam_mimpi_lang,berhitung_lang,kirim_sms_ke_keluarga_lang,kirim_sms_ke_teman_lang,kirim_sms_ke_suami_istri_lang,dalam_jejaring_sosial_lang,berdoa_dalam_hati_lang,berdoa_di_tempat_ibadah_lang,di_rumah_lang,di_tempat_kerja_lang,di_pasar_lang,di_warung_lang,di_bank_lang,di_kantor_pos_lang,di_sd_dengan_guru_lang,di_sd_dengan_teman_sekelas_lang,di_sma_dengan_guru_lang,di_sma_dengan_teman_sekelas_lang,di_kendaraan_umum_lang,membaca_novel_lang,membaca_koran_lang,membaca_majalah_lang,mendengar_musik_lang,mendengar_radio_lang,menonton_tv_lang
rsjuqa,1990,dki jakarta - kota administrasi jakarta pusat,perempuan,orang tua,12-24,indonesia,"indonesia, sunda",indonesia,indonesia,indonesia,indonesia,sunda,d3,dki jakarta,dki jakarta,pegawai swasta,islam,1968,indonesia,sunda,indonesia,"indonesia, betawi",indonesia,indonesia,indonesia,indonesia,banjarmasin,sma,dki jakarta,dki jakarta,wiraswastawan,islam,1966,indonesia,"jawa, betawi","indonesia, sunda",sunda,,indonesia,sunda,"indonesia, sunda",sunda,sma,jawa barat - kota cirebon,dki jakarta,pegawai swasta,islam,1930,sunda,indonesia,"indonesia, sunda",sunda,indonesia,indonesia,sunda,"indonesia, sunda",sunda,d3,#name?,dki jakarta,dosen,islam,1920,sunda,indonesia,indonesia,indonesia,,indonesia,indonesia,indonesia,betawi,,dki jakarta,dki jakarta,,islam,1930,indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,banjarmasin,,kalimantan selatan - kabupaten banjar,dki jakarta,wiraswastawan,islam,1930,,,indonesia,indonesia,indonesia,indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,,"indonesia, inggris","indonesia, arab","indonesia, arab",indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris",indonesia,indonesia,"indonesia, inggris",indonesia,"indonesia, inggris"
elvbur,1990,dki jakarta - kota administrasi jakarta pusat,perempuan,orang tua,6-12,indonesia,sunda,indonesia,indonesia,indonesia,"indonesia, sunda",sunda,s1,dki jakarta,dki jakarta,pns,islam,1966,sunda,"indonesia, betawi",indonesia,"indonesia, jawa",indonesia,indonesia,indonesia,indonesia,jawa,s1,dki jakarta,dki jakarta,swasta,islam,1960,indonesia,jawa,"indonesia, sunda",sunda,,indonesia,sunda,sunda,sunda,smp,jawa barat,jawa barat,,islam,1950,sunda,indonesia,,,,,,,,, , ,,,,jawa,indonesia,indonesia,jawa,,indonesia,indonesia,indonesia,jawa,sma,#name?,dki jakarta,,islam,1949,,,,,,,,,,, , ,,,,,,indonesia,indonesia,indonesia,"indonesia, sunda",,indonesia,indonesia,indonesia,"indonesia, inggris",indonesia,indonesia,indonesia,"indonesia, inggris",,"indonesia, inggris","indonesia, arab","indonesia, arab",indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris"
vkxutl,1991,jawa barat - kota depok,perempuan,orang tua,12-24,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,minang,sma,dki jakarta,jawa barat - kota depok,pramugari,islam,1960,indonesia,minang,indonesia,jawa,indonesia,indonesia,indonesia,jawa,jawa,s3,dki jakarta,jawa barat - kota depok,dosen,islam,1956,indonesia,jawa,indonesia,belanda,,indonesia,indonesia,minang,minang,sma,riau - kota pekanbaru,dki jakarta,,islam,1928,indonesia,melayu,indonesia,minang,,indonesia,indonesia,indonesia,minang,s1,aceh,dki jakarta,pns,islam,1919,indonesia,melayu,jawa,jawa,,indonesia,jawa,jawa,jawa,,#name?,dki jakarta,,islam,1928,jawa,indonesia,jawa,jawa,indonesia,indonesia,jawa,jawa,jawa,,#name?,dki jakarta,tni,islam,1924,jawa,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, arab","indonesia, arab",indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris",indonesia,indonesia,"indonesia, inggris",indonesia,"indonesia, inggris"
njfwxb,1994,dki jakarta,laki,orang tua,0,indonesia,indonesia,indonesia,inggris,indonesia,indonesia,jawa,sma,dki jakarta,dki jakarta,pedagang,islam,1970,indonesia,inggris,indonesia,indonesia,indonesia,indonesia,indonesia,ambon,ambon,sma,dki jakarta,dki jakarta,buruh,islam,1965,indonesia,ambon,indonesia,indonesia,indonesia,indonesia,indonesia,jawa,jawa,sd,#name?,dki jakarta,wiraswasta,islam,1927,indonesia,jawa,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,indonesia,indonesia,indonesia,indonesia,,indonesia,indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,,indonesia,arab,arab,indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,inggris,indonesia,indonesia
pkraqj,1991,jawa barat - kota depok,laki,orang tua,6-12,indonesia,sunda,indonesia,indonesia,indonesia,sunda,sunda,d1,dki jakarta,jawa barat - kota depok,sekretaris,islam,1968,sunda,inggris,indonesia,jawa,indonesia,indonesia,indonesia,jawa,jawa,sma,dki jakarta,jawa barat - kota depok,karyawan,islam,1962,jawa,,,sunda,,,,sunda,sunda,,jawa barat - kota bandung,jawa barat - kabupaten cianjur,,islam,,sunda,,,sunda,,,,sunda,sunda,,jawa barat - kota bandung,jawa barat - kota bogor,pns,islam,,sunda,,,jawa,,,,jawa,jawa,,jawa tengah - kota semarang,jawa tengah - kota semarang,,islam,,jawa,,,jawa,,,,jawa,jawa,,jawa tengah - kota surakarta,jawa tengah - kota semarang,tni,islam,,jawa,,indonesia,indonesia,indonesia,indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
tyqiwd,1992,jawa tengah - kota semarang,laki,orang tua,1-2,"indonesia, jawa",jawa (krama),"indonesia, jawa",jawa,"indonesia, jawa",jawa,jawa,s2,#name?,jawa tengah - kota semarang,pns (guru sd),islam,1959,jawa,"indonesia, banjar, sunda","indonesia, jawa",jawa (krama),"indonesia, jawa",jawa,"indonesia, jawa",jawa,jawa,s2,"jawa tengah - jepara, kudus",jawa tengah - kota semarang,bumn (pln),islam,1950,jawa,indonesia,,jawa,,"indonesia, jawa",,"indonesia, jawa",jawa,sd/smp,jawa tengah - kota surakarta, ,ibu rumah tangga,islam,19321933,jawa,indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,"indonesia, jawa","indonesia, jawa","indonesia, jawa","indonesia, jawa",,indonesia,"jawa (krama), indonesia",,"indonesia, jawa",indonesia,"indonesia, jawa",indonesia,"indonesia, jawa, betawi",,"indonesia, jawa, betawi",indonesia,indonesia,"indonesia, jawa",indonesia,jawa,"indonesia, jawa",indonesia,indonesia,indonesia,"banjar, jawa, indonesia","jawa (krama), indonesia",jawa,"indonesia, jawa","indonesia, inggris",indonesia,indonesia,"indonesia, jepang, inggris",indonesia,indonesia
fhiwyk,1984,sulawesi selatan - kota makassar,laki,orang tua,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swfedt,1984,sulawesi selatan - kota makassar,laki,orang tua,3-5,"indonesia, makassar","indonesia, makassar",indonesia,makassar,indonesia,makassar,makassar,s1,sulawesi selatan - kota makassar,sulawesi selatan - kota makassar,pns,islam,1946,"indonesia, makassar",makassar,indonesia,minahasa,indonesia,indonesia,indonesia,indonesia,minahasa,s1,sulawesi utara - kabupaten minahasa,sulawesi selatan - kota makassar,pns,islam,1946,makassar,minahasa,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,"indonesia, makassar",indonesia,"indonesia, makassar",makassar,,makassar,"indonesia, makassar",,indonesia,indonesia,indonesia,indonesia,indonesia,,"indonesia, makassar","arab, indonesia",arab,"indonesia, makassar",indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, makassar",indonesia,"arab, inggris",indonesia,indonesia,indonesia,indonesia,"indonesia, inggris",indonesia,indonesia
lcoeop,1972,#name?,perempuan,"orang tua (bengkulu)sendiri (klg, bandung)",,"indonesia, jawa",jawa,"indonesia, jawa",indonesia,,"indonesia, jawa",jawa,sma,jawa tengah - kota magelang,dki jakarta - ,pns,islam,1949,jawa,,"indonesia, jawa",jawa,"indonesia, jawa",indonesia,,"indonesia, jawa",jawa,sarjana,daerah istimewa yogyakarta - kota yogyakarta,dki jakarta - ,pns,islam,1939,jawa,,,,,,,,,, , ,,,,sunda,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,indonesia,indonesia,indonesia,indonesia,"indonesia, sunda",indonesia,"indonesia, betawi",indonesia,"indonesia, bengkulu",indonesia,indonesia,indonesia,"indonesia, sunda, jawa",indonesia,"indonesia, bengkulu, sunda, thailand, inggris",indonesia,indonesia,"indonesia, bengkulu, sunda","indonesia, sunda, jawa","indonesia, betawi",indonesia,indonesia,indonesia,indonesia,bengkulu,indonesia,"indonesia, bengkulu","indonesia, bengkulu","indonesia, sunda","indonesia, sunda",indonesia,"indonesia, inggris","indonesia, dialek jakarta","indonesia, sunda"
mpngoz,1968,sumatera barat - kota padang,perempuan,orang tua,12-24,minang,,indonesia,minang,indonesia,minang,minang,meises school,sumatera barat - kota padang,sumatera barat - kota padang,perawat,islam,1929,minang,minang,indonesia,,indonesia,minang,minang,jawa,jawa,sgb,jawa tengah - kabupaten klaten,sumatera barat - kota padang,polri,islam,1932,jawa,jawa,minang,minang,,minang,minang,minang,minang,,sumatera barat - kota padang,sumatera barat - kota padang,,islam,,minang,minang,minang,minang,,minang,minang,minang,minang,,sumatera barat - kota padang,sumatera barat - kota padang,,islam,,minang,minang,jawa,jawa,,jawa,jawa,jawa,jawa,,jawa tengah - kabupaten klaten,jawa tengah - kabupaten klaten,ibu rumah tangga,kristen (protestan),,jawa,jawa,jawa,jawa,,jawa,jawa,jawa,jawa,,jawa tengah - kabupaten klaten,jawa tengah - kabupaten klaten,,islam,,jawa,jawa,minang,indonesia,minang,jawa,indonesia,indonesia,indonesia,sunda,minang,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"arab, indonesia",minang,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,minang,indonesia,indonesia,indonesia,indonesia,inggris,indonesia,indonesia
ysvvhs,1964,sumatera utara - kabupaten mandailing natal,laki,orang tua,1-2,mandailing,mandailing,mandailing,mandailing,mandailing,mandailing,mandailing,sd,sumatera utara - kabupaten mandailing natal,sumatera utara - kota medan,petani,islam,1925,mandailing,mandailing,,,,,,,,, , ,,,,mandailing,mandailing,,mandailing,,,,,mandailing,,sumatera utara - kabupaten mandailing natal, ,,islam,,mandailing,mandailing,,mandailing,,,,,mandailing,,sumatera utara - kabupaten mandailing natal, ,,islam,,mandailing,mandailing,,mandailing,,,,,mandailing,,sumatera utara - kabupaten mandailing natal, ,,islam,,mandailing,mandailing,,mandailing,,,,,mandailing,,sumatera utara - kabupaten mandailing natal, ,,islam,,mandailing,indonesia,mandailing,mandailing,mandailing,mandailing,mandailing,"mandailing, indonesia",indonesia,indonesia,"mandailing, indonesia",indonesia,indonesia,"mandailing, indonesia",indonesia,"mandailing, indonesia",indonesia,indonesia,arab,"mandailing, indonesia",indonesia,indonesia,indonesia,indonesia,indonesia,mandailing,mandailing,indonesia,"mandailing, indonesia",indonesia,indonesia,indonesia,indonesia,"indonesia, inggris",indonesia,"indonesia, inggris"
ktxapz,1986,jawa barat - kota bekasi,laki,ibu,lebih dari 24,,betawi,indonesia,indonesia,indonesia,indonesia,betawi,sarjana,jawa barat - kota bekasi,jawa barat - kota bekasi,,islam,1969,betawi,"arab, jawa",,sunda,indonesia,indonesia,indonesia,"indonesia, sunda",sunda,sarjana,jawa barat - kota cirebon,jawa barat - kota bekasi,,islam,1966,sunda,arab,,betawi,,,,,betawi,, , ,,islam,1910,,,,betawi,,,,,betawi,, , ,,islam,1914,,,,sunda,,,,,sunda,, , ,,islam,1910,,,,sunda,,,,,sunda,, , ,,islam,1910,,,"indonesia, betawi","indonesia, sunda",indonesia,,,indonesia,,sunda,sunda,,,indonesia,,,indonesia,indonesia,,"sunda, betawi, indonesia",indonesia,jawa,,indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, sunda",indonesia,indonesia
urplck,1970,dki jakarta,laki,orang tua,3-5,indonesia,betawi,,"indonesia, betawi",indonesia,indonesia,"betawi, arab",smp,dki jakarta,dki jakarta,,islam,1936,betawi,indonesia,indonesia,,indonesia,indonesia,indonesia,"indonesia, jawa, arab",arab,akademi perawatan,jawa tengah - kota tegal,dki jakarta,,islam,1928,jawa,arab,,,,,,,,, , ,,,,bangka,"indonesia, inggris, sunda, belanda",,,,,,,,, , ,,,,indonesia,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,indonesia,indonesia,indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, belanda","indonesia, belanda",indonesia,"indonesia, belanda","indonesia, belanda","indonesia, belanda, inggris",indonesia,"indonesia, arab",indonesia,"indonesia, belanda",indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, belanda, inggris","indonesia, belanda, inggris","indonesia, belanda, inggris","indonesia, belanda, inggris","indonesia, inggris","indonesia, inggris"
wxojjo,1974,dki jakarta - kota administrasi jakarta timur,perempuan,orang tua,12-24,indonesia,jawa,indonesia,indonesia,indonesia,"jawa, indonesia",jawa,,#name?,dki jakarta,ibu rumah tangga,islam,1931,jawa,indonesia,betawi,betawi,indonesia,indonesia,indonesia,"indonesia, betawi",betawi,his,dki jakarta,dki jakarta,wiraswasta,islam,1930,betawi,indonesia,,,,,,,,, , ,,,,indonesia,jawa,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,indonesia,indonesia,indonesia,jawa,"indonesia, inggris",indonesia,indonesia,jawa,indonesia,indonesia,indonesia,indonesia,"indonesia, belanda","indonesia, inggris","indonesia, inggris",indonesia,"indonesia, arab","indonesia, jawa, inggris","indonesia, belanda",indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, belanda","indonesia, belanda","indonesia, belanda","indonesia, inggris",indonesia,"indonesia, inggris"
uszmfp,1972,banten - kota tangerang,perempuan,orang tua,3-5,indonesia,jawa,indonesia,indonesia,jawa,"indonesia, jawa",jawa,sma,jawa timur,banten - kota tangerang,guru sma,islam,1937,jawa,indonesia,indonesia,jawa,indonesia,indonesia,jawa,"indonesia, jawa",jawa,sarjana,#name?, ,pegawai negeri,islam,1934,jawa,indonesia,,,,,,,jawa,, , ,,islam,,jawa,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,indonesia,indonesia,indonesia,indonesia,,indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,,indonesia,indonesia,arab,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris","indonesia, inggris","indonesia, inggris"
ulrvru,1985,jambi - kota jambi,perempuan,orang tua,3-5,jambi,jawa,"jambi, indonesia",jambi,"indonesia, jawa",jawa,jawa,s2,#name?,jambi - kota jambi,dosen,islam,1962,jawa,jambi,jambi,jawa,"jambi, indonesia",jambi,"indonesia, jawa",jawa,jawa,s3,#name?,jambi - kota jambi,dosen,islam,1952,jawa,jambi,,jawa,,jawa,,jawa,jawa,sd,#name?,#name?,,islam,1920,jawa,jambi,,jawa,,,,,jawa,sma,#name?,#name?,polisi,islam,1920,jawa,jambi,,jawa,,jambi,,jambi,jawa,sd,#name?,jambi - kota jambi,,islam,1920,jawa,jambi,,jawa,,,,,jawa,sma,#name?,jambi - kota jambi,pegawai badan pertanahan,islam,1920,jawa,jambi,"indonesia, jawa","indonesia, jawa","indonesia, jawa","indonesia, jawa","indonesia, jawa","indonesia, jawa","indonesia, jawa","indonesia, jawa","indonesia, jawa",,indonesia,indonesia,"indonesia, jawa","indonesia, jawa","indonesia, jawa, inggris",indonesia,arab,"indonesia, jawa",,"indonesia, jawa",indonesia,indonesia,indonesia,jambi,jambi,jambi,jambi,indonesia,indonesia,indonesia,"indonesia, inggris","indonesia, inggris, korea","indonesia, inggris","indonesia, inggris"
wdcpkt,42, ,perempuan,orang tua,,indonesia,jawa,,indonesia,jawa,jawa,jawa,smea,daerah istimewa yogyakarta - kota yogyakarta,jawa barat - kota bandung,ibu rumah tangga,islam,1947,jawa,indonesia,indonesia,jawa,indonesia,indonesia,indonesia,"indonesia, jawa",jawa,stm,daerah istimewa yogyakarta - kota yogyakarta,jawa barat - kota bandung,swasta,islam,1944,jawa,indonesia,jawa,jawa,jawa,jawa,jawa,jawa,jawa,,daerah istimewa yogyakarta - kota yogyakarta, ,petani,islam,,jawa,indonesia,jawa,jawa,jawa,jawa,jawa,jawa,jawa,,daerah istimewa yogyakarta - kota yogyakarta, ,petani,islam,,jawa,,jawa,jawa,jawa,jawa,jawa,jawa,jawa,,daerah istimewa yogyakarta - kota yogyakarta, ,petani,islam,,jawa,,jawa,jawa,jawa,jawa,jawa,jawa,jawa,,daerah istimewa yogyakarta - kota yogyakarta, ,petani,islam,,sunda,,indonesia,indonesia,,"indonesia, jawa",,indonesia,indonesia,,indonesia,indonesia,indonesia,indonesia,"indonesia, sunda",indonesia,indonesia,"indonesia, arab","indonesia, arab",indonesia,indonesia,sunda,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris",indonesia,"indonesia, inggris"
qnkuez,34, ,perempuan,orang tua,,sunda,,indonesia,indonesia,sunda,sunda,sunda,univ,jawa barat - kabupaten tasikmalaya,jawa barat - kota bandung,ibu rumah tangga,islam,1949,sunda,"indonesia, belanda",sunda,,indonesia,indonesia,sunda,sunda,sunda,univ,jawa barat - kabupaten tasikmalaya,jawa barat - kota bandung,pns,islam,1946,sunda,"indonesia, inggris",,sunda,belanda,sunda,sunda,sunda,sunda,,jawa barat - kabupaten tasikmalaya, ,ibu rumah tangga,islam,1920,sunda,belanda,,sunda,belanda,sunda,sunda,sunda,sunda,,jawa barat - kabupaten tasikmalaya, ,camat,islam,1920,sunda,belanda,,sunda,sunda,sunda,sunda,sunda,sunda,,jawa barat - kabupaten tasikmalaya, ,ibu rumah tangga,islam,1920,sunda,indonesia,,sunda,"indonesia, sunda",sunda,sunda,sunda,sunda,,jawa barat - kabupaten tasikmalaya, ,guru,islam,1920,sunda,belanda,sunda,sunda,sunda,,"indonesia, inggris",sunda,indonesia,indonesia,indonesia,,inggris,sunda,indonesia,inggris,inggris,indonesia,indonesia,indonesia,indonesia,sunda,sunda,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris"
nfzlnf,27, ,perempuan,orang tua,,sunda,sunda,indonesia,sunda,indonesia,"sunda, indonesia",sunda,s2,jawa barat - kabupaten sumedang,jawa barat - kabupaten sumedang,dosen,islam,1963,sunda,indonesia,jawa,indonesia,"indonesia, jawa","indonesia, jawa",jawa,jawa,jawa,s1,jawa barat - kabupaten indramayu,jawa barat - kabupaten indramayu,pns (guru),islam,1963,jawa,indonesia,sunda,sunda,,sunda,sunda,sunda,sunda,sr,jawa barat - kabupaten sumedang,jawa barat - kabupaten sumedang,tani,islam,,sunda,indonesia,,sunda,,,,,sunda,sr,jawa barat - kabupaten sumedang, ,tani,islam,,sunda,,jawa,jawa,,jawa,jawa,jawa,jawa,,jawa barat - kabupaten indramayu,jawa barat - kabupaten indramayu,tani,islam,,jawa,,,jawa,,,,,jawa,,jawa barat - kabupaten indramayu, ,tani,islam,,jawa,,sunda,indonesia,sunda,sunda,indonesia,"sunda, indonesia","sunda, indonesia",,sunda,,indonesia,"sunda, indonesia",indonesia,indonesia,"indonesia, inggris","indonesia, arab","indonesia, arab","sunda, indonesia",indonesia,indonesia,indonesia,indonesia,indonesia,"sunda, indonesia","sunda, indonesia",indonesia,"sunda, indonesia",indonesia,"indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris",indonesia,"indonesia, inggris"
jeyocx,30, ,perempuan,orang tua,,sunda,sunda,sunda,sunda,sunda,,sunda,smp,jawa barat - kota bogor,jawa barat - kota bogor,housewife,islam,1961,sunda,indonesia,sunda,sunda,sunda,sunda,sunda,,sunda,sd,jawa barat - kota bogor,jawa barat - kota bogor,pedagang,islam,1954,sunda,indonesia,sunda,sunda,sunda,sunda,sunda,sunda,sunda,pendidikan dasar,jawa barat - kota bogor,jawa barat - kota bogor,,islam,,sunda,indonesia,sunda,sunda,sunda,sunda,sunda,sunda,sunda,pendidikan dasar,jawa barat - kota bogor,jawa barat - kota bogor,,islam,,sunda,indonesia,sunda,sunda,sunda,sunda,sunda,sunda,sunda,pendidikan dasar,jawa barat - kota bogor,jawa barat - kota bogor,,islam,,sunda,indonesia,sunda,sunda,sunda,sunda,sunda,sunda,sunda,pendidikan dasar,jawa barat - kota bogor,jawa barat - kota bogor,,islam,,sunda,indonesia,sunda,sunda,sunda,,"indonesia, sunda",sunda,sunda,"indonesia, sunda","indonesia, sunda",indonesia,indonesia,"indonesia, sunda",indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, sunda","indonesia, sunda","indonesia, sunda","indonesia, sunda",indonesia,indonesia,"indonesia, sunda",sunda,"indonesia, sunda","indonesia, sunda",indonesia,indonesia,indonesia,indonesia,inggris,indonesia,"indonesia, inggris"
jtdhgu,51, ,perempuan,orang tua,,sunda,sunda,,sunda,sunda,sunda,sunda,sma,jawa barat - kota bandung,jawa barat - kota bandung,ibu rumah tangga,islam,1933,sunda,indonesia,sunda,sunda,"indonesia, sunda","indonesia, sunda",sunda,"indonesia, sunda",sunda,akademik,jawa barat - kota bogor,jawa barat - kota bandung,pegawai swasta,islam,1932,sunda,indonesia,sunda,sunda,sunda,sunda,sunda,sunda,sunda,,jawa barat - kabupaten garut,jawa barat - kota bandung,,islam,,sunda,indonesia,sunda,sunda,sunda,sunda,sunda,sunda,sunda,,jawa barat - kota bandung,jawa barat - kota bandung,,islam,,sunda,indonesia,sunda,sunda,sunda,sunda,sunda,sunda,sunda,,jawa barat - kota bogor,jawa barat - kota bogor,,islam,,sunda,sunda,sunda,sunda,sunda,sunda,sunda,sunda,sunda,,jawa barat - kota bogor,jawa barat - kota bogor,,islam,,sunda,sunda,sunda,sunda,sunda,sunda,sunda,sunda,"indonesia, sunda",sunda,sunda,,indonesia,"indonesia, sunda","indonesia, sunda",sunda,indonesia,sunda,"indonesia, sunda",sunda,"indonesia, sunda","indonesia, sunda","indonesia, sunda",indonesia,indonesia,sunda,sunda,"indonesia, sunda","indonesia, sunda","indonesia, sunda","indonesia, sunda",indonesia,indonesia,indonesia,indonesia,"indonesia, sunda"
sratzr,1976,jawa barat - kabupaten bandung,perempuan,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
